country,year,ear_l9l1_noc_rt
alb,1996,4.1
arg,1996,7.3
arg,1997,7.8
arg,1998,8.2
arg,1999,8.3
arg,2000,9.3
arg,2001,10.6
arg,2002,9.3
arg,2003,9.9
arg,2004,10.2
arg,2005,11.4
arg,2006,12.3
arg,2007,12.0
arg,2008,11.0
arg,2009,10.8
arg,2010,10.1
arm,2007,5.2
arm,2008,4.8
arm,2009,4.1
arm,2010,4.6
arm,2011,4.5
aus,1995,2.9
aus,1997,2.9
aus,1998,2.9
aus,1999,3.0
aus,2000,3.0
aus,2001,3.1
aus,2002,3.1
aus,2003,3.1
aus,2004,3.1
aus,2005,3.1
aus,2006,3.3
aus,2007,3.3
aus,2008,3.3
aus,2009,3.3
aus,2010,3.3
aut,2004,3.2
aut,2005,3.3
aut,2006,3.3
aut,2007,3.4
aut,2008,3.3
aut,2009,3.4
aut,2010,3.4
aze,1996,20.1
aze,1997,20.3
aze,1998,14.1
aze,1999,9.4
aze,2000,11.7
aze,2001,9.0
aze,2002,10.4
aze,2003,9.6
aze,2004,6.8
aze,2005,6.7
aze,2006,5.4
aze,2007,16.6
aze,2008,14.2
bel,1999,2.7
bel,2000,2.7
bel,2001,2.7
bel,2002,2.7
bel,2003,2.8
bel,2004,2.8
bel,2005,2.8
bel,2006,2.8
bel,2007,2.8
bel,2008,2.8
bel,2009,2.8
bih,2007,4.9
bra,1995,11.3
bra,1996,10.4
bra,1997,10.4
bra,1998,10.4
bra,1999,10.4
bra,2001,10.4
bra,2002,10.5
bra,2003,10.2
bra,2004,9.6
bra,2005,9.2
bra,2006,9.4
bra,2007,8.7
bra,2008,8.3
bra,2009,8.5
can,1997,3.5
can,1998,3.6
can,1999,3.6
can,2000,3.6
can,2001,3.7
can,2002,3.6
can,2003,3.6
can,2004,3.7
can,2005,3.7
can,2006,3.7
can,2007,3.7
can,2008,3.8
can,2009,3.7
can,2010,3.7
can,2011,3.7
che,1996,2.5
che,1998,2.6
che,2000,2.6
che,2002,2.6
che,2004,2.6
che,2006,2.7
che,2008,2.7
che,2010,2.7
chl,1998,5.6
chl,2000,6.3
chl,2003,5.2
chl,2006,5.3
chl,2009,4.9
col,1995,5.1
col,1996,5.4
col,1997,6.1
col,1998,6.1
col,1999,6.1
col,2000,8.0
col,2002,10.5
col,2003,10.6
col,2004,9.7
col,2005,8.7
col,2006,8.2
col,2007,10.3
col,2008,9.8
col,2009,9.5
col,2010,10.2
cri,1995,7.7
cri,1996,7.6
cri,1997,7.5
cri,1998,8.8
cri,1999,9.0
cri,2000,7.9
cri,2001,8.5
cri,2002,8.4
cri,2003,8.4
cri,2004,7.4
cri,2005,8.9
cri,2006,8.8
cri,2007,7.8
cri,2008,7.5
cri,2009,8.9
cri,2010,9.8
cze,1996,2.8
cze,1997,2.8
cze,1998,2.9
cze,1999,2.9
cze,2000,2.9
cze,2001,2.9
cze,2002,3.0
cze,2003,3.0
cze,2004,3.0
cze,2005,3.1
cze,2006,3.1
cze,2007,3.1
cze,2008,3.1
cze,2009,3.2
cze,2010,3.2
cze,2011,3.5
deu,1995,2.9
deu,1996,2.9
deu,1997,2.9
deu,1998,3.0
deu,1999,3.1
deu,2000,3.0
deu,2001,3.2
deu,2002,2.9
deu,2003,2.9
