country,year,ear_mree_noc_gr
pse,2010,-5.8
aut,2011,-1.3
bgr,2009,9.1
bdi,2007,13.6
aze,2011,1.9
blr,2006,17.3
can,2010,1.8
chn,2008,10.7
chn,2010,9.8
aus,2011,0.5
bra,2007,3.2
fin,2006,1.8
fin,2007,2.2
dom,2007,4.1
cri,2010,3.0
geo,2008,32.1
hrv,2008,1.1
egy,2007,-0.8
isl,2007,6.0
slv,2006,-3.6
slv,2009,3.8
deu,2008,-0.4
deu,2010,1.1
irn,2006,4.9
irn,2008,-5.0
isr,2009,-2.9
nld,2010,-0.2
nzl,2010,1.6
jam,2010,-12.3
nor,2009,1.3
lso,2006,-10.6
jpn,2007,-0.2
ltu,2011,-1.4
ken,2009,-4.9
mys,2006,0.0
zaf,2011,2.7
pan,2008,-3.1
pri,2006,-1.5
reu,2007,1.4
sau,2007,-3.3
lka,2006,-1.0
pol,2008,5.6
tun,2010,1.4
tun,2011,2.7
uga,2010,4.9
uga,2011,-4.9
tha,2007,0.7
tha,2011,3.3
mkd,2006,4.6
alb,2009,2.9
aut,2010,-0.4
bgd,2009,9.2
bgd,2010,3.1
arm,2009,15.8
arm,2010,2.2
chl,2011,2.5
bel,2008,-0.2
chn,2007,13.4
bih,2009,8.6
aus,2006,1.0
aus,2008,-0.7
bra,2008,3.4
bra,2011,2.7
irl,2010,-0.3
irl,2011,-1.7
fin,2010,0.6
hkg,2006,2.0
cri,2011,6.3
hrv,2006,2.9
hrv,2010,-0.8
egy,2009,-5.3
deu,2007,-0.8
deu,2011,0.8
glp,2006,0.2
cze,2010,-0.7
guy,2007,-9.1
mng,2006,20.8
mng,2009,3.1
kor,2006,3.4
kor,2011,-2.9
isr,2008,-1.1
kwt,2009,2.5
npl,2008,4.7
nld,2007,0.4
ita,2006,0.5
ita,2009,-0.7
ita,2011,-1.9
jam,2011,10.7
lso,2011,16.0
jpn,2008,-1.9
ltu,2007,13.9
ltu,2009,-8.3
omn,2009,1.5
nic,2006,3.7
ken,2010,-0.4
mex,2008,-2.6
mex,2011,-2.9
mac,2006,6.5
mac,2007,21.5
mac,2008,11.7
mac,2010,-0.8
zaf,2008,-0.2
pan,2007,1.3
pan,2010,7.4
prt,2008,1.9
qat,2008,1.7
rus,2009,-3.5
sgp,2006,2.2
sgp,2007,4.0
pol,2007,5.3
tun,2009,2.3
gbr,2009,-0.5
syr,2010,-2.1
tur,2007,5.5
uga,2007,8.6
uga,2008,-20.1
mkd,2010,-0.5
mkd,2011,-2.6
ven,2010,-4.7
pse,2006,3.2
alb,2006,6.7
aut,2008,0.1
aut,2009,1.9
alb,2010,-6.9
aze,2006,11.4
aze,2008,5.3
bhr,2006,-2.5
arm,2008,12.8
chl,2008,-0.3
can,2011,-0.4
bwa,2010,4.3
aus,2009,2.6
fin,2008,1.2
dnk,2010,0.9
dom,2009,2.2
fra,2006,0.5
hkg,2011,4.1
cri,2008,-2.0
cri,2009,10.1
egy,2006,6.2
egy,2010,8.6
hun,2010,-3.4
hun,2011,1.3
isl,2009,-5.7
isl,2010,-1.5
est,2006,11.6
est,2011,0.8
irn,2009,7.2
cze,2007,4.4
mng,2007,25.2
mng,2010,3.2
mar,2011,2.6
moz,2010,11.3
mmr,2007,3.0
kwt,2008,4.4
kwt,2010,0.2
nzl,2011,-1.5
nor,2011,2.5
lso,2010,-0.7
mlt,2006,1.7
jpn,2009,-1.9
mus,2008,-1.8
omn,2010,-3.2
jor,2010,2.3
nic,2011,-3.2
mex,2006,3.0
mwi,2006,-6.3
prt,2007,0.7
esp,2009,3.5
rus,2008,11.5
tun,2007,1.7
gbr,2011,-3.5
syr,2007,-0.9
syr,2008,2.3
tur,2009,-7.7
tur,2011,8.7
tkm,2011,8.5
are,2008,-2.7
ven,2009,-4.6
ven,2011,4.2
alb,2007,21.6
alb,2008,21.3
bgr,2007,11.1
bgr,2008,13.0
bgr,2010,3.3
aze,2010,5.2
bhr,2009,-4.0
blr,2008,9.0
arm,2006,17.0
bel,2006,-0.1
bel,2007,-1.2
bel,2009,3.9
aus,2010,2.3
fin,2009,1.6
hnd,2006,11.1
hnd,2008,15.9
hkg,2010,1.9
cri,2006,1.6
isl,2011,0.8
cyp,2006,2.8
cyp,2008,1.6
moz,2007,6.0
moz,2009,10.6
mmr,2008,22.1
kwt,2006,-2.7
npl,2006,-0.5
nzl,2007,4.9
jam,2007,1.5
jam,2008,-6.2
nor,2010,1.5
lso,2008,-3.0
jpn,2010,2.3
ltu,2008,7.5
mus,2011,1.2
jor,2007,4.1
ken,2006,1.4
ken,2011,-8.6
mex,2007,1.6
mac,2009,-0.4
mac,2011,0.4
mys,2009,0.0
prt,2009,3.5
pry,2007,0.8
pry,2009,3.9
pry,2011,1.5
qat,2009,10.7
esp,2007,1.1
esp,2011,-1.9
sgp,2009,-3.2
sgp,2011,0.7
pak,2007,7.1
pol,2011,1.3
gbr,2007,0.7
gbr,2010,-1.8
syr,2009,1.6
tur,2008,0.1
tkm,2009,15.2
tkm,2010,5.0
tha,2006,1.5
mkd,2008,0.3
pse,2007,-2.5
pse,2008,-5.0
aut,2006,2.2
bhr,2007,5.2
bgd,2006,-0.5
can,2006,0.4
can,2007,2.1
can,2008,0.5
can,2009,1.2
chn,2006,12.9
aus,2007,2.1
fra,2007,1.5
hun,2007,0.0
hun,2008,1.3
cyp,2010,0.0
grc,2009,-0.6
guy,2006,-5.2
kor,2008,-1.5
kor,2009,-0.1
mar,2009,3.7
moz,2006,0.6
moz,2011,2.1
mmr,2006,142.5
isr,2007,6.2
ita,2007,0.0
nzl,2008,0.1
jam,2006,3.2
nor,2007,4.9
mlt,2008,0.0
mlt,2010,2.4
mtq,2006,-1.1
jor,2009,5.0
nic,2007,-7.3
mys,2011,4.0
pan,2006,2.5
pri,2008,-2.0
esp,2006,1.2
esp,2008,0.9
