country,year,ear_xees_mod_nb
afg,2009,4250.0
alb,1995,6406.0
alb,1996,8638.0
alb,1997,9063.0
alb,1998,10894.0
alb,1999,12118.0
alb,1999,12118.0
alb,2000,13355.0
alb,2000,13355.0
alb,2001,14820.0
alb,2001,14820.0
alb,2002,16541.0
alb,2002,16541.0
alb,2003,18522.0
alb,2003,18522.0
alb,2004,19039.0
alb,2004,19039.0
alb,2005,19993.0
alb,2005,19993.0
alb,2006,21842.0
alb,2006,21842.0
alb,2007,27350.0
alb,2007,27350.0
alb,2008,34277.0
alb,2009,36075.0
alb,2010,34767.0
alb,2011,36482.0
alb,2012,37305.0
ant,1995,2364.0
ant,1996,2475.0
ant,1997,2591.0
ant,1998,2462.0
ant,2000,2565.0
are,2001,3067.0
are,2002,3033.0
are,2003,3175.0
are,2004,3200.0
are,2005,3233.0
are,2006,3742.0
are,2007,4358.0
are,2008,4758.0
arg,1996,589.0
arg,1997,585.0
arg,1998,619.0
arg,1999,596.0
arg,2000,589.0
arg,2001,571.0
arg,2002,524.0
arg,2003,579.0
arg,2004,633.0
arg,2005,819.0
arg,2006,1024.0
arg,2007,1302.0
arg,2008,1648.0
arg,2009,1958.0
arg,2010,2527.0
arm,1995,7060.0
arm,1995,7060.0
arm,1996,9469.0
arm,1996,9469.0
arm,1997,13581.0
arm,1997,13581.0
arm,1998,18000.0
arm,1998,18000.0
arm,1999,20157.0
arm,1999,20157.0
arm,2000,22706.0
arm,2000,22706.0
arm,2001,24483.0
arm,2001,24483.0
arm,2002,27324.0
arm,2002,27324.0
arm,2003,34783.0
arm,2003,34783.0
arm,2004,43445.0
arm,2004,43445.0
arm,2005,52060.0
arm,2005,52060.0
arm,2006,62293.0
arm,2006,62293.0
arm,2007,74227.0
arm,2007,74227.0
arm,2008,87406.0
arm,2008,91331.0
arm,2009,96019.0
arm,2010,102652.0
arm,2011,108092.0
arm,2012,113163.0
arm,2013,158239.0
aus,1995,2392.7
aus,1995,2305.0
aus,1996,2461.6
aus,1997,2535.0
aus,1997,2536.5
aus,1998,2598.7
aus,1998,2582.7
aus,1999,2650.7
aus,1999,2704.0
aus,2000,2855.7
aus,2000,2766.6
aus,2001,2890.1
aus,2001,2977.0
aus,2002,2996.9
aus,2002,3063.7
aus,2003,3180.7
aus,2003,3167.0
aus,2004,3256.7
aus,2004,3319.3
aus,2005,3497.0
aus,2005,3433.7
aus,2006,3590.4
aus,2006,3735.3
aus,2007,4012.7
