country,sex,year,ear_xees_sex_nb
arg,sex_t,1996,589.0
arg,sex_m,1996,660.0
arg,sex_f,1996,480.0
arg,sex_t,1997,585.0
arg,sex_m,1997,651.0
arg,sex_f,1997,486.0
arg,sex_t,1998,619.0
arg,sex_m,1998,695.0
arg,sex_f,1998,509.0
arg,sex_t,1999,596.0
arg,sex_m,1999,663.0
arg,sex_f,1999,504.0
arg,sex_t,2000,589.0
arg,sex_m,2000,661.0
arg,sex_f,2000,492.0
arg,sex_t,2001,571.0
arg,sex_m,2001,641.0
arg,sex_f,2001,479.0
arg,sex_t,2002,524.0
arg,sex_m,2002,613.0
arg,sex_f,2002,424.0
arg,sex_t,2003,579.0
arg,sex_m,2003,679.0
arg,sex_f,2003,464.0
arg,sex_t,2004,633.0
arg,sex_m,2004,743.0
arg,sex_f,2004,503.0
arg,sex_t,2005,819.0
arg,sex_m,2005,951.0
arg,sex_f,2005,658.0
arg,sex_t,2006,1024.0
arg,sex_m,2006,1173.0
arg,sex_f,2006,840.0
arg,sex_t,2007,1302.0
arg,sex_m,2007,1513.0
arg,sex_f,2007,1031.0
arg,sex_t,2008,1648.0
arg,sex_m,2008,1880.0
arg,sex_f,2008,1349.0
arg,sex_t,2009,1958.0
arg,sex_m,2009,2183.0
arg,sex_f,2009,1680.0
arg,sex_t,2010,2527.0
arg,sex_m,2010,2811.0
arg,sex_f,2010,2159.0
arm,sex_t,1996,9469.0
arm,sex_t,1997,13581.0
arm,sex_t,1998,18000.0
arm,sex_t,1999,20157.0
arm,sex_t,2000,22706.0
arm,sex_m,2000,29208.0
arm,sex_f,2000,15160.0
arm,sex_t,2001,24483.0
arm,sex_m,2001,33921.0
arm,sex_f,2001,15528.0
arm,sex_t,2002,27324.0
arm,sex_m,2002,41452.0
arm,sex_f,2002,16865.0
arm,sex_t,2003,34783.0
arm,sex_m,2003,49831.0
arm,sex_f,2003,20990.0
arm,sex_t,2004,43445.0
arm,sex_m,2004,57043.0
arm,sex_f,2004,30485.0
arm,sex_t,2005,52060.0
arm,sex_m,2005,66301.0
arm,sex_f,2005,38131.0
arm,sex_t,2006,62293.0
arm,sex_m,2006,81625.0
arm,sex_f,2006,48343.0
arm,sex_t,2007,74227.0
arm,sex_m,2007,96802.0
arm,sex_f,2007,58101.0
arm,sex_t,2008,87406.0
arm,sex_m,2008,116787.0
arm,sex_f,2008,68010.0
arm,sex_t,2009,96019.0
arm,sex_m,2009,126765.0
arm,sex_f,2009,77127.0
arm,sex_t,2010,102652.0
arm,sex_m,2010,124757.0
arm,sex_f,2010,79919.0
arm,sex_t,2011,115265.0
aus,sex_t,1995,2386.0
aus,sex_m,1995,2847.0
aus,sex_f,1995,1867.0
aus,sex_t,1996,2456.0
aus,sex_m,1996,2925.0
aus,sex_f,1996,1924.0
aus,sex_t,1997,2530.0
aus,sex_m,1997,3014.0
aus,sex_f,1997,1996.0
aus,sex_t,1998,2600.0
aus,sex_m,1998,3117.0
aus,sex_f,1998,2044.0
aus,sex_t,1999,2639.0
aus,sex_m,1999,3172.0
aus,sex_f,1999,2082.0
aus,sex_t,2000,2760.0
aus,sex_m,2000,3299.0
aus,sex_f,2000,2187.0
aus,sex_t,2001,2884.0
aus,sex_m,2001,3439.0
