country,year,ear_xflp_noc_rt
arg,1996,10.9
arg,1997,11.8
arg,1998,15.6
arg,1999,12.6
arg,2000,13.2
arg,2001,14.0
arg,2002,19.6
arg,2003,18.7
arg,2004,20.5
arg,2005,19.9
arg,2006,18.0
arg,2007,18.2
arg,2008,17.8
arg,2009,17.0
arg,2010,15.5
arm,2007,49.6
arm,2008,38.8
arm,2009,33.0
arm,2010,33.6
arm,2011,39.6
aus,1995,17.7
aus,1997,16.0
aus,1998,15.2
aus,1999,17.9
aus,2000,18.9
aus,2001,17.8
aus,2002,16.6
aus,2003,17.1
aus,2004,17.8
aus,2005,20.1
aus,2006,19.3
aus,2007,20.2
aus,2008,21.2
aus,2009,18.6
aus,2010,19.7
aut,2004,28.9
aut,2005,28.7
aut,2006,29.1
aut,2007,29.4
aut,2008,28.7
aut,2009,27.9
aut,2010,27.9
bel,2004,13.3
bel,2005,12.5
bel,2006,11.8
bel,2007,10.9
bel,2008,8.3
bel,2009,7.0
bel,2010,7.7
can,1997,21.7
can,1998,21.9
can,1999,22.2
can,2000,22.7
can,2001,21.6
can,2002,21.5
can,2003,21.2
can,2004,22.1
can,2005,21.4
can,2006,21.6
can,2007,21.3
can,2008,21.1
can,2009,21.3
can,2010,21.3
can,2011,20.3
che,1998,22.1
che,2000,20.8
che,2002,20.2
che,2004,19.2
che,2006,18.6
che,2008,18.9
che,2010,19.1
chl,1998,27.3
chl,2000,28.7
chl,2003,16.1
chl,2006,22.1
chl,2009,21.5
col,1995,6.6
col,1996,7.3
col,1997,7.5
col,1998,7.0
col,1999,6.7
col,2000,7.6
col,2002,10.6
col,2003,11.8
col,2004,11.3
col,2005,10.0
col,2006,11.5
col,2007,11.4
col,2008,11.2
col,2009,12.0
col,2010,12.5
cri,1995,30.3
cri,2000,29.2
cri,2001,29.3
cri,2002,29.8
cri,2003,28.8
cri,2004,27.8
cri,2005,29.5
cri,2006,31.3
cri,2007,28.8
cri,2008,28.2
cri,2009,29.2
cri,2010,29.4
cze,1996,24.7
cze,1997,24.1
cze,1999,24.3
cze,2001,23.9
cze,2002,25.2
cze,2003,25.7
cze,2004,26.3
cze,2005,26.3
cze,2006,25.7
cze,2007,26.1
cze,2008,26.1
cze,2009,25.7
deu,1995,24.5
deu,1996,22.1
deu,1997,24.2
deu,1998,26.3
deu,1999,24.8
deu,2000,25.1
deu,2001,28.0
deu,2002,28.4
deu,2003,28.7
deu,2004,27.0
deu,2005,30.7
deu,2006,30.9
deu,2007,30.3
deu,2008,31.1
deu,2009,29.4
deu,2010,30.7
dnk,1996,14.0
dnk,1997,12.6
dnk,1998,15.0
dnk,1999,13.1
dnk,2000,14.1
dnk,2001,16.1
dnk,2002,15.8
dnk,2003,16.9
dnk,2004,15.7
dnk,2005,16.3
dnk,2006,17.2
dnk,2007,15.1
dnk,2008,18.4
dnk,2009,19.4
dnk,2010,19.1
ecu,1995,13.4
ecu,1996,15.0
ecu,1997,12.3
ecu,1998,14.8
ecu,1999,15.8
ecu,2000,14.0
ecu,2001,12.7
ecu,2002,11.4
ecu,2003,11.4
ecu,2004,10.0
ecu,2005,11.7
ecu,2006,11.3
ecu,2007,11.1
ecu,2008,10.5
ecu,2009,9.9
ecu,2010,8.1
ecu,2011,7.5
esp,2004,23.4
esp,2005,22.7
esp,2006,23.7
esp,2007,21.5
esp,2008,21.5
esp,2009,21.5
esp,2010,20.2
fin,2001,9.5
fin,2002,10.3
fin,2003,8.6
fin,2004,9.6
fin,2005,9.7
fin,2006,10.9
fin,2007,11.5
fin,2008,12.7
fin,2009,11.5
fin,2010,10.9
gbr,1995,32.9
gbr,1996,32.4
gbr,1997,32.2
gbr,1998,32.5
gbr,1999,31.1
gbr,2000,31.6
gbr,2001,31.6
gbr,2002,31.1
gbr,2003,30.6
gbr,2004,30.2
gbr,2005,29.5
gbr,2006,29.1
gbr,2007,29.1
gbr,2008,29.6
gbr,2009,28.5
gbr,2010,28.1
gbr,2011,27.4
grc,2004,26.4
grc,2005,25.2
grc,2006,26.8
grc,2007,24.4
grc,2008,16.5
grc,2010,16.4
hnd,1995,30.0
hnd,2001,28.0
hnd,2002,25.9
hnd,2003,21.0
hnd,2004,24.4
hnd,2005,23.1
hnd,2006,22.6
hnd,2007,22.8
hnd,2008,22.0
hnd,2009,22.7
hnd,2010,24.8
hun,1995,24.8
hun,1996,26.5
hun,1997,25.7
hun,1998,25.9
hun,1999,26.4
hun,2000,26.5
hun,2001,24.6
hun,2002,23.0
hun,2003,22.0
hun,2004,22.8
hun,2005,22.9
hun,2006,21.6
hun,2007,21.7
hun,2008,21.4
hun,2009,22.5
hun,2010,21.9
irl,1997,28.8
irl,2000,25.9
irl,2003,24.4
irl,2004,24.0
irl,2005,25.3
irl,2006,26.8
irl,2007,28.1
irl,2008,26.3
irl,2009,24.3
irl,2010,24.5
isl,2004,25.6
isl,2005,23.3
isl,2006,21.8
isl,2007,20.8
isl,2008,20.6
isr,2001,34.3
isr,2002,33.1
isr,2003,31.0
isr,2004,31.8
isr,2005,31.5
isr,2006,29.4
isr,2007,30.9
isr,2008,30.0
isr,2009,31.0
isr,2010,28.6
ita,1995,13.5
ita,1998,14.5
ita,2000,11.7
ita,2002,14.1
ita,2004,12.0
ita,2006,14.5
ita,2008,11.7
ita,2010,13.3
jpn,1995,35.9
jpn,1996,36.1
jpn,1997,35.8
jpn,1998,34.2
jpn,1999,33.6
jpn,2000,33.1
jpn,2001,33.3
jpn,2002,31.6
jpn,2003,31.6
jpn,2004,30.6
jpn,2005,33.7
jpn,2006,33.8
jpn,2007,32.0
jpn,2008,30.3
jpn,2009,27.8
jpn,2010,28.2
jpn,2011,27.3
kor,1995,48.7
kor,1996,47.7
kor,1997,47.5
kor,1998,47.5
kor,1999,46.3
kor,2000,46.6
kor,2001,45.2
kor,2002,45.9
kor,2003,44.1
