country,year,ear_xfls_noc_rt
fin,2000,71.0
fin,2008,69.2
isr,2008,69.3
lva,2011,52.2
nzl,2002,56.4
nzl,2010,53.6
prt,1999,60.8
arm,2007,65.2
fin,1996,72.2
fin,1998,71.4
isr,1998,67.3
lux,2010,64.4
nzl,1999,54.2
nzl,2004,58.4
nzl,2007,58.7
mda,2007,63.5
prt,2006,62.4
phl,2009,48.7
phl,2010,49.1
pol,2004,54.1
pol,2008,56.7
phl,2001,45.8
phl,2005,49.6
arm,2011,63.9
fin,2010,70.8
isr,2007,69.6
lva,2010,52.7
nzl,2001,58.4
phl,2004,45.1
phl,2008,47.7
pol,1998,59.2
pol,1999,58.2
fin,1995,73.2
fin,2002,66.6
fin,2007,68.8
isr,1997,64.2
nzl,2003,57.6
nzl,2006,58.1
nzl,2008,58.2
mda,2009,59.9
mda,2010,61.1
prt,1995,59.0
prt,2002,59.1
prt,2004,60.7
prt,2005,61.2
prt,2008,61.7
phl,2003,45.0
phl,2007,50.2
pol,2001,57.8
arm,2008,62.9
fin,1999,70.4
fin,2001,67.7
fin,2003,67.5
fin,2004,65.6
isr,1995,66.3
isr,2000,69.9
isr,2002,66.2
isr,2004,68.1
lux,2008,61.1
nzl,1998,58.5
nzl,2005,60.7
prt,1997,58.4
prt,2003,59.3
phl,2011,49.2
pol,2002,53.7
pol,2010,54.2
arm,2009,61.9
fin,1997,71.4
fin,2006,68.4
fin,2009,70.9
isr,1999,67.6
isr,2006,70.2
lva,2009,53.8
lux,2009,63.4
nzl,2009,52.5
nzl,2011,56.3
mda,2008,62.6
mda,2011,59.6
prt,2000,60.7
prt,2009,60.4
phl,2006,51.0
pol,2006,54.4
arm,2010,60.3
fin,2005,65.5
isr,1996,68.8
isr,2001,67.8
isr,2003,66.1
isr,2005,69.1
lva,2008,52.8
lux,2011,65.5
nzl,2000,56.6
mda,2006,61.0
prt,1996,58.7
prt,1998,60.8
prt,2007,62.2
phl,2002,45.4
che,1998,70.8
che,2000,71.0
che,2002,71.2
che,2004,70.1
che,2006,68.6
che,2008,69.0
che,2010,68.4
