country,year,ear_xtlp_noc_rt
usa,2002,23.5
usa,2003,23.3
usa,2005,24.0
ury,2005,29.3
ven,2005,20.7
ven,2006,15.0
arg,1997,21.3
col,1995,11.3
col,1997,13.8
bel,2004,12.0
bel,2006,12.5
aus,1997,12.4
aus,1998,12.3
aus,2003,13.4
aus,2007,16.0
aus,2009,14.4
bra,2003,20.8
irl,2000,17.8
irl,2005,20.1
irl,2008,20.6
dnk,2005,11.3
hnd,2001,33.7
cri,2004,20.3
ecu,1999,31.2
ecu,2003,23.8
ecu,2008,21.7
hun,1995,19.9
deu,1996,13.5
idn,2004,26.6
idn,2008,29.0
cze,2007,16.8
fin,2000,5.8
fin,2002,4.8
fin,2003,4.5
fin,2006,5.0
fin,2007,5.2
kor,1999,18.5
kor,2004,20.8
isr,1999,22.4
isr,2005,22.6
ita,2000,9.5
lva,2011,31.5
jpn,1996,15.3
jpn,2002,14.4
mex,1998,24.4
mex,2006,23.3
mex,2010,19.3
nzl,2004,15.4
nzl,2011,12.6
pan,2006,16.1
pan,2008,15.9
zaf,1995,34.6
prt,2007,12.5
phl,2005,12.8
pol,2010,24.3
svk,2003,18.0
svk,2010,20.0
usa,2009,24.8
usa,2011,25.1
ven,2003,21.3
ven,2004,23.9
aze,2008,50.0
arg,1999,21.5
col,2006,20.2
col,2007,21.9
chl,2003,15.6
can,1997,21.9
can,2005,21.3
bel,2007,12.7
bel,2008,12.6
can,2011,20.3
aus,1999,14.3
bra,2002,24.4
dnk,1996,8.6
dnk,1999,8.0
dnk,2003,11.5
hnd,1995,27.0
hnd,2002,33.1
hnd,2009,32.6
cri,1995,22.1
cri,2000,20.6
cri,2001,21.3
cri,2007,19.8
ecu,2010,19.7
hun,2000,23.4
hun,2003,22.7
hun,2009,21.8
hun,2010,21.0
idn,1999,27.9
grc,2004,20.0
grc,2008,13.5
cze,2009,17.1
fin,2010,5.7
kor,1998,19.2
isr,2000,23.0
nld,1997,14.6
ita,1995,9.0
ita,2010,9.5
jpn,1995,15.4
