country,year,lap_egva_noc_rt
usa,1995,57.1
usa,1997,56.4
usa,1998,57.5
usa,1999,57.6
usa,2007,56.2
usa,2009,55.7
ven,2001,35.1
ven,2002,33.0
ven,2004,30.1
aut,2001,56.2
aut,2005,54.1
aut,2010,55.3
bgr,2001,36.4
bfa,2003,22.5
aze,2002,20.8
aze,2006,17.1
aze,2008,14.3
arg,2001,42.1
bhr,2006,29.0
blr,2002,54.3
blr,2008,52.9
blr,2009,55.6
can,2000,50.6
bol,1998,32.6
bol,2005,30.8
bol,2010,26.5
chn,1996,57.9
bwa,1996,29.1
bwa,1999,21.0
bwa,2001,23.4
aus,1997,50.1
aus,2006,48.9
can,2002,51.5
irl,2003,38.6
irl,2008,44.4
fin,1996,50.0
dnk,1995,52.1
dnk,2001,53.7
hnd,2000,42.4
fra,1999,51.8
hkg,1996,47.5
cri,1995,45.7
fra,2001,52.2
fra,2004,52.2
fra,2009,52.7
gab,2003,26.1
geo,2003,17.3
hrv,1999,54.0
hrv,2002,50.2
hrv,2007,47.8
egy,2000,28.7
hun,2005,54.2
cub,2000,36.2
cub,2006,36.0
egy,2009,24.9
cub,2007,34.8
cyp,1998,43.5
cyp,2002,44.2
cyp,2006,44.8
ind,1995,27.2
ind,2000,29.8
est,2002,44.2
est,2004,44.3
est,2005,44.2
ind,2003,30.9
grc,2000,33.2
gtm,2002,32.4
irn,1996,23.0
irn,2001,24.0
cze,1999,41.7
cze,2005,43.1
cze,2006,43.0
civ,1996,23.6
gtm,2005,31.9
mda,1997,48.7
mda,1998,49.1
mda,2002,43.8
mda,2003,49.2
mda,2009,57.5
kor,2001,49.1
kor,2005,51.1
kor,2007,51.3
kor,2008,51.6
mar,2006,32.4
moz,2004,27.4
moz,2005,25.7
isr,1998,50.8
isr,2003,50.3
isr,2007,50.3
kwt,2003,30.3
kwt,2007,22.1
nam,2000,46.1
nam,2005,42.5
npl,2004,43.2
npl,2009,36.9
kgz,1997,32.2
kgz,2001,27.2
nld,1995,51.2
nld,2000,50.7
nld,2003,51.5
ita,1996,41.4
ita,1997,41.6
ita,1999,39.8
ita,2003,40.2
ita,2005,40.7
nzl,2002,41.5
jam,2004,45.2
lva,2002,38.5
lva,2006,43.9
lva,2010,42.9
nor,1998,49.6
mlt,2006,43.5
ant,1997,59.7
jpn,1996,54.3
jpn,2001,54.1
jpn,2006,52.0
mus,2006,33.4
mus,2010,34.1
jor,2000,39.3
lux,2001,49.4
lux,2003,47.3
ken,2000,34.8
ken,2007,37.0
mac,2003,29.5
mac,2006,30.6
ner,2004,15.6
nga,1999,4.1
nga,2008,3.7
svn,1995,55.7
svn,1996,54.1
svn,2006,50.5
zaf,1997,49.6
pan,2003,35.0
zaf,2001,46.6
zaf,2004,45.0
png,2004,18.2
prt,2002,49.5
prt,2003,49.8
prt,2007,48.9
sdn,1998,36.7
sdn,2004,25.9
esp,2006,47.2
esp,2007,47.7
rou,2010,44.1
swe,1995,52.4
swe,1998,54.1
swe,2005,54.2
rus,2007,46.7
