country,year,lap_wgva_noc_rt
arg,1995,56.2
arg,1996,52.4
arg,1997,51.4
arg,1998,52.8
arg,1999,55.8
arg,2000,55.5
arg,2001,57.8
arg,2002,48.4
arg,2003,47.7
arg,2004,49.4
arg,2005,52.1
arg,2006,55.5
arg,2007,56.8
arm,2003,44.3
arm,2004,43.1
arm,2005,43.1
arm,2006,42.6
arm,2007,42.4
arm,2008,42.0
arm,2009,43.0
arm,2010,41.8
aus,1995,59.1
aus,1996,59.5
aus,1997,59.0
aus,1998,59.1
aus,1999,58.5
aus,2000,58.0
aus,2001,56.7
aus,2002,56.4
aus,2003,55.7
aus,2004,56.1
aus,2005,55.8
aus,2006,55.6
aus,2007,55.3
aus,2008,55.0
aus,2009,55.3
aus,2010,62.0
aus,2011,64.4
aut,1995,61.8
aut,1996,60.8
aut,1997,60.5
aut,1998,60.1
aut,1999,59.9
aut,2000,59.0
aut,2001,58.6
aut,2002,57.9
aut,2003,58.0
aut,2004,56.8
aut,2005,56.4
aut,2006,55.9
aut,2007,55.5
aut,2008,56.6
aut,2009,58.7
aut,2010,57.7
aut,2011,57.2
aze,1995,52.0
aze,1996,49.4
aze,1997,59.8
aze,1998,63.9
aze,1999,55.8
aze,2000,65.8
aze,2001,61.9
aze,2002,64.6
aze,2003,69.3
aze,2004,75.0
aze,2005,66.7
aze,2006,50.9
aze,2007,44.3
aze,2008,41.0
aze,2009,58.2
bel,1995,62.4
bel,1996,62.5
bel,1997,62.1
bel,1998,61.6
bel,1999,62.3
bel,2000,61.3
bel,2001,62.6
bel,2002,62.8
bel,2003,62.2
bel,2004,60.5
bel,2005,60.0
bel,2006,59.7
bel,2007,59.6
bel,2008,60.9
bel,2009,62.5
bel,2010,61.4
bel,2011,61.7
bgr,1995,54.2
bgr,1996,48.4
bgr,1997,45.6
bgr,1998,53.2
bgr,1999,53.1
bgr,2000,50.6
bgr,2001,51.4
bgr,2002,49.9
bgr,2003,49.6
bgr,2004,48.6
bgr,2005,47.7
bgr,2006,46.1
bgr,2007,46.1
bgr,2008,47.8
bgr,2009,51.7
bgr,2010,53.1
bgr,2011,51.1
can,1995,57.6
can,1996,57.4
can,1997,57.7
can,1998,58.6
can,1999,57.3
can,2000,56.4
can,2001,56.9
can,2002,56.8
can,2003,56.5
can,2004,56.1
can,2005,55.7
can,2006,56.3
can,2007,56.4
can,2008,56.0
can,2009,58.7
can,2010,57.4
can,2011,55.9
che,1995,71.4
che,1996,71.7
che,1997,71.6
che,1998,70.9
che,1999,70.9
che,2000,69.9
che,2001,72.5
che,2002,73.3
che,2003,72.4
che,2004,69.8
che,2005,70.3
che,2006,69.3
che,2007,69.1
che,2008,69.0
che,2009,71.5
che,2010,70.1
che,2011,70.8
cyp,1995,57.8
cyp,1996,58.3
cyp,1997,59.1
cyp,1998,57.1
cyp,1999,56.5
cyp,2000,56.2
cyp,2001,55.1
cyp,2002,57.1
cyp,2003,59.7
cyp,2004,58.9
cyp,2005,58.1
cyp,2006,56.7
cyp,2007,55.0
cyp,2008,53.5
cyp,2009,57.1
cyp,2010,55.4
cyp,2011,55.4
cze,1995,46.2
cze,1996,47.3
cze,1997,48.5
cze,1998,47.4
cze,1999,47.2
cze,2000,47.8
cze,2001,47.9
cze,2002,49.6
cze,2003,50.7
cze,2004,50.2
cze,2005,49.9
cze,2006,49.9
cze,2007,49.5
cze,2008,50.3
cze,2009,50.5
cze,2010,51.0
cze,2011,51.5
deu,1995,61.0
deu,1996,60.8
deu,1997,59.9
deu,1998,59.6
deu,1999,59.8
deu,2000,60.6
deu,2001,60.1
deu,2002,59.7
deu,2003,59.6
deu,2004,58.7
deu,2005,57.8
deu,2006,56.4
deu,2007,55.1
deu,2008,55.9
deu,2009,58.3
deu,2010,57.3
deu,2011,57.6
dnk,1995,56.5
dnk,1996,56.7
dnk,1997,56.3
dnk,1998,57.5
dnk,1999,57.8
dnk,2000,56.4
dnk,2001,57.5
dnk,2002,58.0
dnk,2003,58.3
dnk,2004,57.3
dnk,2005,56.9
dnk,2006,56.9
dnk,2007,58.3
dnk,2008,59.4
dnk,2009,62.1
dnk,2010,59.2
dnk,2011,58.8
esp,1995,60.2
esp,1996,60.2
esp,1997,60.0
esp,1998,59.6
esp,1999,59.2
esp,2000,58.9
esp,2001,58.3
esp,2002,57.6
esp,2003,56.8
esp,2004,55.9
esp,2005,55.4
esp,2006,54.9
esp,2007,55.3
esp,2008,56.6
esp,2009,57.3
esp,2010,55.6
esp,2011,53.8
est,1995,56.1
est,1996,53.6
est,1997,52.3
est,1998,51.9
est,1999,50.6
est,2000,49.7
est,2001,48.5
est,2002,48.1
est,2003,48.6
est,2004,49.1
est,2005,48.0
est,2006,48.2
est,2007,50.6
est,2008,54.8
est,2009,56.2
est,2010,52.5
est,2011,51.0
fin,1995,57.3
fin,1996,57.8
fin,1997,56.1
fin,1998,54.9
fin,1999,54.8
fin,2000,53.8
fin,2001,54.1
fin,2002,53.8
fin,2003,54.6
fin,2004,54.3
fin,2005,55.3
fin,2006,55.0
fin,2007,53.7
fin,2008,55.6
fin,2009,59.6
fin,2010,58.6
fin,2011,57.1
fra,1995,58.1
fra,1996,58.0
fra,1997,57.5
fra,1998,56.9
fra,1999,57.4
fra,2000,57.3
fra,2001,57.5
fra,2002,58.0
fra,2003,58.0
fra,2004,57.6
fra,2005,57.6
fra,2006,57.4
fra,2007,56.8
fra,2008,57.2
fra,2009,58.7
fra,2010,58.7
fra,2011,58.8
gbr,1995,62.1
gbr,1996,60.6
gbr,1997,60.4
gbr,1998,61.2
gbr,1999,61.5
gbr,2000,62.5
gbr,2001,63.3
gbr,2002,62.5
gbr,2003,62.4
gbr,2004,62.1
gbr,2005,62.2
gbr,2006,62.1
